TRADEDATE,BOARDID,CLOSE,VOLUME,VALUE
2017-05-15,TQBR,131.2,4284600,556419873.0
2017-05-16,TQBR,131.33,6917000,911715213.0
2017-05-17,TQBR,131.35,4373200,573776808.0
2017-05-18,TQBR,128.93,5094900,656384941.0
2017-05-19,TQBR,131.1,2988300,388333843.0
2017-05-22,TQBR,131.98,3016100,396190427.0
2017-05-23,TQBR,132.04,7167300,947073939.0
2017-05-24,TQBR,133.0,4137600,547088932.0
2017-05-25,TQBR,130.7,2998900,395804810.0
2017-05-26,TQBR,130.2,7097600,921910457.0
2017-05-29,TQBR,130.5,2857000,372123519.0
2017-05-30,TQBR,129.49,3393800,440307642.0
2017-05-31,TQBR,124.69,9509100,1194823099.0
2017-06-01,TQBR,125.34,8666700,1079089548.0
2017-06-02,TQBR,126.95,4422700,553348173.0
2017-06-05,TQBR,124.46,3579000,450558919.0
2017-06-06,TQBR,122.98,3531200,436820460.0
2017-06-07,TQBR,123.78,7114900,881923127.0
2017-06-08,TQBR,122.4,6227200,758442377.0
2017-06-09,TQBR,122.25,4089900,497985628.0
2017-06-13,TQBR,116.55,6123500,719949199.0
2017-06-14,TQBR,114.3,5278200,607191370.0
2017-06-15,TQBR,111.02,11273600,1242452804.0
2017-06-16,TQBR,111.99,3741300,421170392.0
2017-06-19,TQBR,114.11,2888900,328019539.0
2017-06-20,TQBR,115.5,4499700,518951894.0
2017-06-21,TQBR,116.47,3493300,405863426.0
2017-06-22,TQBR,115.0,3671800,424955690.0
2017-06-23,TQBR,114.58,2829800,325055022.0
2017-06-26,TQBR,113.22,4141800,474969791.0
2017-06-27,TQBR,114.93,1976500,225537644.0
2017-06-28,TQBR,115.72,3123000,359115759.0
2017-06-29,TQBR,115.0,3410300,393419171.0
2017-06-30,TQBR,120.29,13379300,1582204601.0
2017-07-03,TQBR,120.4,4187500,503831657.0
2017-07-04,TQBR,123.4,4155400,508581949.0
2017-07-05,TQBR,125.01,6281800,779640426.0
2017-07-06,TQBR,123.87,3075500,383622691.0
2017-07-07,TQBR,125.5,3145400,392214202.0
2017-07-10,TQBR,127.55,2643400,335156046.0
2017-07-11,TQBR,129.0,3635000,465263501.0
2017-07-12,TQBR,133.99,8567700,1134149286.0
2017-07-13,TQBR,134.6,9913500,1332669729.0
2017-07-14,TQBR,134.51,6784900,918363458.0
2017-07-17,TQBR,133.67,3164100,424888240.0
2017-07-18,TQBR,132.7,5542100,740555181.0
2017-07-19,TQBR,134.72,4633800,621115662.0
2017-07-20,TQBR,134.69,3390700,456956592.0
2017-07-21,TQBR,133.75,4398500,591098167.0
2017-07-24,TQBR,134.35,4076100,544031091.0
2017-07-25,TQBR,134.0,3374300,452006302.0
2017-07-26,TQBR,135.21,3273500,442081340.0
2017-07-27,TQBR,137.24,4185000,574199255.0
2017-07-28,TQBR,136.22,4165100,564762918.0
2017-07-31,TQBR,134.99,4817800,656868481.0
2017-08-01,TQBR,136.44,3087100,421812252.0
2017-08-02,TQBR,138.9,4239200,584763099.0
2017-08-03,TQBR,138.4,2677000,371800721.0
2017-08-04,TQBR,138.77,2926400,406343570.0
2017-08-07,TQBR,139.95,3078900,430286700.0
2017-08-08,TQBR,143.5,6012200,853881215.0
2017-08-09,TQBR,141.9,4201600,599573476.0
2017-08-10,TQBR,141.0,2988300,421798862.0
2017-08-11,TQBR,141.8,5033200,703565691.0
2017-08-14,TQBR,141.67,2379700,337727786.0
2017-08-15,TQBR,141.5,1905500,268571330.0
2017-08-16,TQBR,141.72,2058900,292949487.0
2017-08-17,TQBR,140.98,2323400,327310371.0
2017-08-18,TQBR,138.74,4098400,571122906.0
2017-08-21,TQBR,140.9,2481300,348218207.0
