begin,open,close,high,low,value,volume
2024-05-22 23:00:00,322.79 ,322.93 ,323.00 ,322.72 ,"85,655,393 ","265,300 "
2024-05-23 09:00:00,322.80 ,322.80 ,322.80 ,322.80 ,"9,651,720 ","29,900 "
2024-05-23 10:00:00,322.80 ,322.60 ,322.92 ,321.23 ,"867,614,695 ","2,693,890 "
2024-05-23 11:00:00,322.59 ,321.94 ,322.60 ,321.50 ,"709,975,562 ","2,205,910 "
2024-05-23 12:00:00,321.93 ,322.06 ,322.60 ,321.59 ,"405,422,224 ","1,258,880 "
2024-05-23 13:00:00,322.06 ,321.86 ,322.51 ,321.80 ,"267,461,225 ","830,380 "
2024-05-23 14:00:00,321.90 ,322.07 ,322.30 ,321.77 ,"199,887,924 ","620,680 "
2024-05-23 15:00:00,322.06 ,322.70 ,322.73 ,322.06 ,"307,975,717 ","954,850 "
2024-05-23 16:00:00,322.70 ,323.75 ,323.93 ,322.68 ,"1,474,873,110 ","4,559,270 "
2024-05-23 17:00:00,323.75 ,323.84 ,323.84 ,323.48 ,"375,983,650 ","1,161,500 "
2024-05-23 18:00:00,323.83 ,323.90 ,324.00 ,323.83 ,"556,846,701 ","1,719,010 "
2024-05-23 19:00:00,323.90 ,323.68 ,323.96 ,323.22 ,"186,553,674 ","576,570 "
2024-05-23 20:00:00,323.69 ,323.45 ,323.72 ,323.35 ,"74,715,394 ","230,980 "
2024-05-23 21:00:00,323.45 ,323.84 ,323.90 ,323.35 ,"80,211,679 ","247,860 "
2024-05-23 22:00:00,323.85 ,323.62 ,323.92 ,323.56 ,"127,700,721 ","394,390 "
2024-05-23 23:00:00,323.58 ,323.54 ,323.82 ,323.40 ,"123,413,062 ","381,420 "
2024-05-24 09:00:00,323.83 ,323.83 ,323.83 ,323.83 ,"13,241,409 ","40,890 "
2024-05-24 10:00:00,323.83 ,322.98 ,324.48 ,322.58 ,"1,073,347,588 ","3,320,000 "
2024-05-24 11:00:00,322.98 ,322.52 ,323.45 ,322.20 ,"570,983,175 ","1,768,820 "
2024-05-24 12:00:00,322.52 ,322.89 ,323.09 ,322.30 ,"433,002,545 ","1,341,760 "
2024-05-24 13:00:00,322.90 ,322.11 ,322.90 ,321.70 ,"754,134,034 ","2,340,920 "
2024-05-24 14:00:00,322.16 ,320.42 ,322.50 ,320.24 ,"1,485,248,533 ","4,623,110 "
2024-05-24 15:00:00,320.42 ,320.66 ,321.51 ,319.78 ,"1,591,435,953 ","4,964,910 "
2024-05-24 16:00:00,320.63 ,321.62 ,321.99 ,320.45 ,"769,935,090 ","2,395,840 "
2024-05-24 17:00:00,321.63 ,321.40 ,321.91 ,320.47 ,"785,091,383 ","2,444,060 "
2024-05-24 18:00:00,321.41 ,321.30 ,321.99 ,320.85 ,"395,376,701 ","1,229,960 "
2024-05-24 19:00:00,321.60 ,321.20 ,321.66 ,320.90 ,"184,632,261 ","574,860 "
2024-05-24 20:00:00,321.21 ,321.18 ,321.41 ,321.11 ,"89,113,755 ","277,410 "
2024-05-24 21:00:00,321.19 ,321.49 ,321.72 ,321.17 ,"122,901,518 ","382,330 "
2024-05-24 22:00:00,321.50 ,321.33 ,321.56 ,321.15 ,"127,918,447 ","398,080 "
2024-05-24 23:00:00,321.33 ,321.00 ,321.34 ,320.98 ,"157,948,276 ","491,750 "
2024-05-27 09:00:00,321.01 ,321.01 ,321.01 ,321.01 ,"10,904,710 ","33,970 "
2024-05-27 10:00:00,321.08 ,320.00 ,321.95 ,319.12 ,"1,726,484,460 ","5,390,820 "
2024-05-27 11:00:00,320.00 ,319.24 ,320.59 ,319.00 ,"1,032,601,300 ","3,230,130 "
2024-05-27 12:00:00,319.28 ,318.78 ,319.51 ,318.04 ,"1,071,573,165 ","3,362,140 "
2024-05-27 13:00:00,318.78 ,318.48 ,318.93 ,317.01 ,"1,964,693,649 ","6,177,930 "
2024-05-27 14:00:00,318.49 ,319.34 ,320.00 ,318.39 ,"712,664,664 ","2,232,380 "
2024-05-27 15:00:00,319.34 ,318.88 ,319.49 ,318.56 ,"473,795,378 ","1,484,940 "
2024-05-27 16:00:00,318.88 ,318.83 ,320.00 ,318.53 ,"1,059,060,953 ","3,317,260 "
